,"Heavy","2-theta","Intensity"
,"","5.000","0.00629"
,"","5.020","0.00365"
,"","5.040","0.00163"
,"","5.060","0.00021"
,"","5.080","0.00000"
,"","5.100","0.00000"
,"","5.120","0.00000"
,"","5.140","0.00128"
,"","5.160","0.00201"
,"","5.180","0.00245"
,"","5.200","0.00259"
,"","5.220","0.00245"
,"","5.240","0.00201"
,"","5.260","0.00128"
,"","5.280","0.00026"
,"","5.300","0.00000"
,"","5.320","0.00000"
,"","5.340","0.00000"
,"","5.360","0.00000"
,"","5.380","0.00000"
,"","5.400","0.00000"
,"","5.420","0.00000"
,"","5.440","0.00000"
,"","5.460","0.00000"
,"","5.480","0.00000"
,"","5.500","0.00000"
,"","5.520","0.00000"
,"","5.540","0.00000"
,"","5.560","0.00026"
,"","5.580","0.00023"
,"","5.600","0.00227"
,"","5.620","0.00373"
,"","5.640","0.00460"
,"","5.660","0.00490"
,"","5.680","0.00460"
,"","5.700","0.00373"
,"","5.720","0.00227"
,"","5.740","0.00023"
,"","5.760","0.00026"
,"","5.780","0.00000"
,"","5.800","0.00000"
,"","5.820","0.00000"
,"","5.840","0.00000"
,"","5.860","0.00000"
,"","5.880","0.00000"
,"","5.900","0.00000"
,"","5.920","0.00000"
,"","5.940","0.00026"
,"","5.960","0.00128"
,"","5.980","0.00201"
,"","6.000","0.00245"
,"","6.020","0.00259"
,"","6.040","0.00245"
,"","6.060","0.00201"
,"","6.080","0.00128"
,"","6.100","0.00026"
,"","6.120","0.00000"
,"","6.140","0.00000"
,"","6.160","0.00000"
,"","6.180","0.00000"
,"","6.200","0.00000"
,"","6.220","0.00000"
,"","6.240","0.00000"
,"","6.260","0.00000"
,"","6.280","0.00000"
,"","6.300","0.00000"
,"","6.320","0.00000"
,"","6.340","0.00000"
,"","6.360","0.00000"
,"","6.380","0.00000"
,"","6.400","0.00000"
,"","6.420","0.00026"
,"","6.440","0.00128"
,"","6.460","0.00201"
,"","6.480","0.00245"
,"","6.500","0.00259"
,"","6.520","0.00140"
,"","6.540","0.00227"
,"","6.560","0.00256"
,"","6.580","0.00227"
,"","6.600","0.00140"
,"","6.620","0.00259"
,"","6.640","0.00245"
,"","6.660","0.00201"
,"","6.680","0.00128"
,"","6.700","0.00026"
,"","6.720","0.00000"
,"","6.740","0.00000"
,"","6.760","0.00000"
,"","6.780","0.00000"
,"","6.800","0.00000"
,"","6.820","0.00000"
,"","6.840","0.00000"
,"","6.860","0.00000"
,"","6.880","0.00000"
,"","6.900","0.00000"
,"","6.920","0.00000"
,"","6.940","0.00000"
,"","6.960","0.00000"
,"","6.980","0.00000"
,"","7.000","0.00000"
,"","7.020","0.00000"
,"","7.040","0.00000"
,"","7.060","0.00000"
,"","7.080","0.00000"
,"","7.100","0.00000"
,"","7.120","0.00000"
,"","7.140","0.00026"
,"","7.160","0.00128"
,"","7.180","0.00201"
,"","7.200","0.00245"
,"","7.220","0.00259"
,"","7.240","0.00245"
,"","7.260","0.00201"
,"","7.280","0.00128"
,"","7.300","0.00000"
,"","7.320","0.00000"
,"","7.340","0.00000"
,"","7.360","0.00149"
,"","7.380","0.00527"
,"","7.400","0.00790"
,"","7.420","0.00935"
,"","7.440","0.00964"
,"","7.460","0.00877"
,"","7.480","0.00673"
,"","7.500","0.00353"
,"","7.520","0.00181"
,"","7.540","0.00000"
,"","7.560","0.00000"
,"","7.580","0.00000"
,"","7.600","0.00131"
,"","7.620","0.00641"
,"","7.640","0.00900"
,"","7.660","0.01145"
,"","7.680","0.01451"
,"","7.700","0.01448"
,"","7.720","0.01372"
,"","7.740","0.01300"
,"","7.760","0.00964"
,"","7.780","0.00367"
,"","7.800","0.00833"
,"","7.820","0.00554"
,"","7.840","0.00393"
,"","7.860","0.00248"
,"","7.880","0.00277"
